,dataset,10_75
0,Sorteria-100SOC-cell1,0.37323232323232325
1,Sorteria-100SOC-cell2,0.36414141414141415
2,Soteria-SCC-90SOC-cell1,0.18181818181818185
3,Soteria-SCC-80SOC-cell1,0.38939393939393935
4,Soteria-SCC-60SOC-cell1,0.23232323232323235
5,Soteria-SCC-20SOC-5180mAh,0.22222222222222227
6,OE-LCO-6340mAh-0SOC,0.3545454545454546
7,Soteria-SCC-5070-70SOC,0.26212121212121214
8,Soteria-SCC-4160mAh-100SOC-8mm,0.4282828282828283
9,Soteria-SCC-4720mAh-40SOC,0.35050505050505065
10,Soteria-SCC-4700mAh-100SOC-12mm,0.38131313131313127
11,Soteria-SCC-5050mAhr-100SOC,0.3747474747474748
12,Soteria-SCC-4870mah-0SOC,0.46616161616161617
13,Soteria-SCC-4630mAh-10SOC,0.34090909090909094
14,Soteria-SCC-5080mAh-20SOC,0.4696969696969697
15,Soteria-SCC-5170mAh-60SOC,0.24646464646464653
16,OE-LFP10Ah-0SOC-cell9,0.5813131313131313
17,OE-LFP10Ah-0SOC-cell10,0.3808080808080808
18,OE-LFP10Ah-40SOC-cell7,0.5252525252525253
19,OE-LFP10Ah-70SOC-cell5,0.4540404040404041
20,OE-LFP10Ah-70SOC-cell6,0.49444444444444446
21,OE-LFP10Ah-100SOC-cell2,0.5863636363636364
22,OE-LFP10Ah-80SOC-Cell15,0.5181818181818183
23,OE-LFP-cell14-60SOC-10Ah,0.3873737373737374
24,OE-LFP10Ah-60SOC,0.36464646464646466
25,500mAh1-20S0C,0.3606060606060606
26,500mAh1-40S0C,0.4131313131313131
27,500mAh1-60S0C,0.42272727272727273
28,500mAh1-80S0C,0.46464646464646464
29,500mAh1-100S0C,0.5444444444444445
30,500mAh2-20S0C,0.592929292929293
31,500mAh2-40S0C,0.5893939393939394
32,500mAh2-60S0C,0.292929292929293
33,500mAh2-80S0C,0.38181818181818183
34,500mAh2-100S0C,0.4838383838383839
35,500mAh3-20S0C,0.585858585858586
36,500mAh3-40S0C,0.5257575757575758
37,500mAh3-60S0C,0.4964646464646465
38,500mAh3-80S0C,0.5207070707070708
39,500mAh3-100S0C,0.46818181818181814
40,2000mAh1-20S0C,0.4696969696969698
41,2000mAh1-40S0C,0.43030303030303035
42,2000mAh2-20S0C,0.51010101010101
43,2000mAh2-40S0C,0.47373737373737373
44,1500mAh1-20S0C,0.392929292929293
45,1500mAh1-40S0C,0.34696969696969704
46,1500mAh1-60S0C,0.5661616161616162
47,1500mAh1-80S0C,0.44393939393939397
48,1500mAh1-100S0C,0.49090909090909096
49,1500mAh2-20S0C,0.4191919191919192
50,1500mAh2-40S0C,0.5747474747474749
51,1500mAh2-60S0C,0.38989898989898986
52,1500mAh2-80S0C,0.41616161616161623
53,1500mAh2-100S0C,0.5419191919191919
54,1500mAh3-20S0C,0.5181818181818181
55,1500mAh3-40S0C,0.4565656565656565
56,1500mAh3-60S0C,0.46010101010101007
57,1500mAh3-80S0C,0.494949494949495
58,1500mAh3-100S0C,0.5363636363636365
59,OE-LFP10Ah-20SOC,0.5116161616161617
60,Soteria-Control-0SOC-cell1,0.3131313131313132
61,OE-LCO-6500mAh-20SOC,0.4328282828282829
62,OE-LCO-6560mAh-0SOC,0.44040404040404035
63,OE-LCO-6550mAh-20SOC,0.2702020202020202
64,OE-LCO-6400mAh-20SOC,0.3616161616161617
65,OE-LFP10Ah-40SOC-cell8,0.5378787878787877
66,OE-LFP10Ah-80SOC-cell3,0.5681818181818182
67,OE-LFP10Ah-80SOC-cell4,0.39191919191919194
68,OE-LFP10Ah-100SOC-cell1,0.5712121212121211
69,OE-LFP10Ah-100SOC-cell12,0.5095959595959596
70,OE-10AHr-NMC-40SOC-Cell4,0.4979797979797978
71,OE-10Ahr-NMC-0SOC-cell2,0.5590909090909091
72,LFP10Ah-60SOC-Cell17,0.5050505050505051
73,OE-LFP10Ah-80SOC-cell13,0.34343434343434354
74,2000mAh1-60S0C,0.44848484848484854
75,2000mAh1-80S0C,0.5626262626262627
76,2000mAh1-100S0C,0.4691919191919193
77,2000mAh2-60S0C,0.47828282828282825
78,2000mAh2-80S0C,0.5454545454545453
79,2000mAh2-100S0C,0.39747474747474754
80,OE-NMC10Ah-20SOC,0.5191919191919193
81,OE-NMC10Ah-20SOC-cell2,0.5095959595959597
82,Soteria-Control-5030mAh-10SOC,0.5747474747474748
83,Soteria-control-10SOC-cell1,0.39595959595959596
84,OE-LCO-6490mAh-60SOC,0.4166666666666667
85,OE-LCO-6270mAh-40SOC,0.4893939393939394
86,OE-LCO-6500mAh-40SOC,0.3929292929292929
87,Soteria-Control-50SOC,0.3651515151515151
88,OE-10Ahr-NMC-40SOC-cell1,0.42525252525252527
89,OE-10Ahr-NMC-0SOC-cell1,0.43282828282828295
90,OE-NMC10Ah-45SOC,0.41868686868686866
91,OE-NMC10Ah-45SOC-cell2,0.4015151515151515
92,Soteria-Control-5120mAh-50SOC,0.4858585858585859
93,Soteria-Control-5010mAh-20SOC,0.49343434343434345
94,Sorteria-control-20SOC-cell1,0.31919191919191925
95,Soteria-control-30SOC-cell2,0.41111111111111126
96,Soteria-control-30SOC-cell1,0.47626262626262633
97,Soetria-Control-45SOC-cell1,0.3060606060606061
98,Sorteria-control-40SOC-cell2,0.3070707070707072
99,OE-LCO-6470mAh-60SOC,0.3848484848484849
100,Soteria-control-5100mAh-50SOC,0.4823232323232324
101,Soteria-Control-5100mAh-55SOC,0.5348484848484849
102,Sorteria-Control-100SOC-cell1,0.3611111111111112
103,Sorteria-Control-100SOC-cell2,0.11515151515151514
104,LCO-LP-6400mAh-100SOC-cell1,0.3762626262626263
105,LCO-LP-6400mAh-100SOC-cell2,0.21919191919191922
106,LCO-LP-6400mAh-80SOC-Cell3,0.40959595959595946
107,LCO-LP6400mAh-80SOC-cell4,0.49848484848484864
108,Soetria-80SOC-cell3,0.17929292929292934
109,Sorteria-Control-60SOC-cell1,0.5247474747474747
110,OE-10Ahr-NMC-70SOC-cell7,0.145959595959596
111,OE-10Ahr-NMC-80SOC-cell8,0.3580808080808081
112,OE-10Ahr-NMC-80SOC-Cell9,0.12979797979797977
113,OE-10Ahr-NMC-100SOC-cell10,0.2691919191919192
114,OE-10Ahr-NMC-100SOC-cell11,0.1388888888888889
115,OE-10Ahr-NMC-70SOC-cell6,0.41161616161616166
116,OE-NMC10Ah-60SOC,0.30404040404040406
117,OE-NMC10Ah-50SOC,0.4934343434343436
