,dataset,30_125
0,1500mAh1-100S0C,0.37534722222222217
1,1500mAh1-20S0C,0.2711805555555556
2,1500mAh1-40S0C,0.1923611111111111
3,1500mAh1-60S0C,0.3447916666666667
4,1500mAh1-80S0C,0.28194444444444444
5,1500mAh2-100S0C,0.3878472222222223
6,1500mAh2-20S0C,0.24513888888888896
7,1500mAh2-40S0C,0.39791666666666675
8,1500mAh2-60S0C,0.2628472222222223
9,1500mAh2-80S0C,0.2510416666666667
10,1500mAh3-100S0C,0.3847222222222222
11,1500mAh3-20S0C,0.4065972222222222
12,1500mAh3-40S0C,0.3600694444444444
13,1500mAh3-60S0C,0.28229166666666666
14,1500mAh3-80S0C,0.3857638888888889
15,2000mAh1-100S0C,0.326388888888889
16,2000mAh1-20S0C,0.3607638888888889
17,2000mAh1-40S0C,0.3256944444444445
18,2000mAh1-60S0C,0.30138888888888893
19,2000mAh1-80S0C,0.35277777777777786
20,2000mAh2-100S0C,0.3947916666666666
21,2000mAh2-20S0C,0.3493055555555556
22,2000mAh2-40S0C,0.33888888888888885
23,2000mAh2-60S0C,0.32222222222222224
24,2000mAh2-80S0C,0.4184027777777779
25,500mAh1-100S0C,0.436111111111111
26,500mAh1-20S0C,0.19375
27,500mAh1-40S0C,0.24270833333333333
28,500mAh1-60S0C,0.36770833333333325
29,500mAh1-80S0C,0.34131944444444445
30,500mAh2-100S0C,0.33124999999999993
31,500mAh2-20S0C,0.33437500000000003
32,500mAh2-40S0C,0.3513888888888889
33,500mAh2-60S0C,0.2416666666666667
34,500mAh2-80S0C,0.29374999999999996
35,500mAh3-100S0C,0.2958333333333332
36,500mAh3-20S0C,0.3927083333333333
37,500mAh3-40S0C,0.4152777777777778
38,500mAh3-60S0C,0.29618055555555556
39,500mAh3-80S0C,0.36770833333333336
