,dataset,40_150
0,LCO-LP-6400mAh-100SOC-cell1,0.26893714
1,LCO-LP-6400mAh-100SOC-cell2,0.09371894
2,LCO-LP-6400mAh-80SOC-Cell3,0.35324232
3,LCO-LP6400mAh-80SOC-cell4,0.334312325
4,OE-LCO-6270mAh-40SOC,0.372319847
5,OE-LCO-6340mAh-0SOC,0.321921922
6,OE-LCO-6400mAh-20SOC,0.351951952
7,OE-LCO-6470mAh-60SOC,0.313819732
8,OE-LCO-6490mAh-60SOC,0.343819573
9,OE-LCO-6500mAh-20SOC,0.363963964
10,OE-LCO-6500mAh-40SOC,0.32897321
11,OE-LCO-6550mAh-20SOC,0.315015015
12,OE-LCO-6560mAh-0SOC,0.351651652
13,LFP10Ah-60SOC-Cell17,0.321921922
14,OE-LFP-cell14-60SOC-10Ah,0.316216216
15,OE-LFP10Ah-0SOC-cell10,0.279279279
16,OE-LFP10Ah-0SOC-cell9,0.36966967
17,OE-LFP10Ah-100SOC-cell1,0.288888889
18,OE-LFP10Ah-100SOC-cell12,0.373873874
19,OE-LFP10Ah-100SOC-cell2,0.35045045
20,OE-LFP10Ah-20SOC,0.373573574
21,OE-LFP10Ah-40SOC-cell7,0.364264264
22,OE-LFP10Ah-40SOC-cell8,0.386186186
23,OE-LFP10Ah-60SOC,0.387387387
24,OE-LFP10Ah-70SOC-cell5,0.301801802
25,OE-LFP10Ah-70SOC-cell6,0.304804805
26,OE-LFP10Ah-80SOC-cell13,0.31951952
27,OE-LFP10Ah-80SOC-Cell15,0.327927928
28,OE-LFP10Ah-80SOC-cell3,0.387987988
29,OE-LFP10Ah-80SOC-cell4,0.335135135
30,OE-10Ahr-NMC-0SOC-cell1,0.303128947
31,OE-10Ahr-NMC-0SOC-cell2,0.295795796
32,OE-10Ahr-NMC-100SOC-cell10,0.0832142
33,OE-10Ahr-NMC-100SOC-cell11,0.071892437
34,OE-10Ahr-NMC-40SOC-cell1,0.293284911
35,OE-10AHr-NMC-40SOC-Cell4,0.373873874
36,OE-10Ahr-NMC-70SOC-cell6,0.153291479
37,OE-10Ahr-NMC-70SOC-cell7,0.04891735
38,OE-10Ahr-NMC-80SOC-cell8,0.13232123
39,OE-10Ahr-NMC-80SOC-Cell9,0.013892174
40,OE-NMC10Ah-20SOC,0.383483483
41,OE-NMC10Ah-20SOC-cell2,0.378678679
42,OE-NMC10Ah-45SOC,0.313819749
43,OE-NMC10Ah-45SOC-cell2,0.34312313
44,OE-NMC10Ah-50SOC,0.362398147
45,OE-NMC10Ah-60SOC,0.243897321
46,1500mAh1-100S0C,0.328528529
47,1500mAh1-20S0C,0.299099099
48,1500mAh1-40S0C,0.177477477
49,1500mAh1-60S0C,0.324924925
50,1500mAh1-80S0C,0.316816817
51,1500mAh2-100S0C,0.35975976
52,1500mAh2-20S0C,0.275975976
53,1500mAh2-40S0C,0.359159159
54,1500mAh2-60S0C,0.328528529
55,1500mAh2-80S0C,0.252552553
56,1500mAh3-100S0C,0.316216216
57,1500mAh3-20S0C,0.375075075
58,1500mAh3-40S0C,0.350750751
59,1500mAh3-60S0C,0.290690691
60,1500mAh3-80S0C,0.346546547
61,2000mAh1-100S0C,0.315615616
62,2000mAh1-20S0C,0.315315315
63,2000mAh1-40S0C,0.344744745
64,2000mAh1-60S0C,0.31021021
65,2000mAh1-80S0C,0.352552553
66,2000mAh2-100S0C,0.291891892
67,2000mAh2-20S0C,0.345645646
68,2000mAh2-40S0C,0.280780781
69,2000mAh2-60S0C,0.37957958
70,2000mAh2-80S0C,0.376276276
71,500mAh1-100S0C,0.387987988
72,500mAh1-20S0C,0.23963964
73,500mAh1-40S0C,0.196696697
74,500mAh1-60S0C,0.36006006
75,500mAh1-80S0C,0.355855856
76,500mAh2-100S0C,0.315915916
77,500mAh2-20S0C,0.314414414
78,500mAh2-40S0C,0.365165165
79,500mAh2-60S0C,0.290990991
80,500mAh2-80S0C,0.294894895
81,500mAh3-100S0C,0.342342342
82,500mAh3-20S0C,0.36966967
83,500mAh3-40S0C,0.365465465
84,500mAh3-60S0C,0.296096096
85,500mAh3-80S0C,0.345045045
86,Soetria-80SOC-cell3,0.334987132
87,Soetria-Control-45SOC-cell1,0.31099394
88,Sorteria-100SOC-cell1,0.255555556
89,Sorteria-100SOC-cell2,0.163663664
90,Sorteria-Control-100SOC-cell1,0.388239175
91,Sorteria-Control-100SOC-cell2,0.34109348
92,Sorteria-control-20SOC-cell1,0.17431289
93,Sorteria-control-40SOC-cell2,0.2732423
94,Sorteria-Control-60SOC-cell1,0.19138297
95,Soteria-Control-0SOC-cell1,0.311711712
96,Soteria-control-10SOC-cell1,0.144681937
97,Soteria-control-30SOC-cell1,0.093728491
98,Soteria-control-30SOC-cell2,0.18321434
99,Soteria-Control-5010mAh-20SOC,0.1893432
100,Soteria-Control-5030mAh-10SOC,0.11732894
101,Soteria-Control-50SOC,0.31342432
102,Soteria-control-5100mAh-50SOC,0.09809823
103,Soteria-Control-5100mAh-55SOC,0.19328194
104,Soteria-Control-5120mAh-50SOC,0.36839214
105,Soteria-SCC-20SOC-5180mAh,0.289489489
106,Soteria-SCC-4160mAh-100SOC-8mm,0.356456456
107,Soteria-SCC-4630mAh-10SOC,0.254354354
108,Soteria-SCC-4700mAh-100SOC-12mm,0.266966967
109,Soteria-SCC-4720mAh-40SOC,0.366666667
110,Soteria-SCC-4870mah-0SOC,0.353153153
111,Soteria-SCC-5050mAhr-100SOC,0.323723724
112,Soteria-SCC-5070-70SOC,0.341141141
113,Soteria-SCC-5080mAh-20SOC,0.372672673
114,Soteria-SCC-5170mAh-60SOC,0.165165165
115,Soteria-SCC-60SOC-cell1,0.16996997
116,Soteria-SCC-80SOC-cell1,0.313213213
117,Soteria-SCC-90SOC-cell1,0.252552553
