,dataset,40_60
0,Sorteria-100SOC-cell1,0.6571428571428568
1,Sorteria-100SOC-cell2,0.38412698412698404
2,Sorteria-Control-100SOC-cell1,0.38412698412698404
3,Sorteria-Control-100SOC-cell2,0.23809523809523808
4,LCO-LP-6400mAh-100SOC-cell1,0.5682539682539681
5,LCO-LP-6400mAh-100SOC-cell2,0.2873015873015872
6,LCO-LP-6400mAh-80SOC-Cell3,0.5714285714285713
7,LCO-LP6400mAh-80SOC-cell4,0.6253968253968252
8,Soetria-80SOC-cell3,0.31111111111111106
9,Sorteria-Control-60SOC-cell1,0.7111111111111108
10,Soetria-Control-45SOC-cell1,0.365079365079365
11,Sorteria-control-40SOC-cell2,0.46666666666666656
12,Sorteria-control-20SOC-cell1,0.5999999999999998
13,Soteria-control-30SOC-cell2,0.6428571428571426
14,Soteria-control-30SOC-cell1,0.5904761904761904
15,Soteria-control-10SOC-cell1,0.6333333333333331
16,Soteria-Control-0SOC-cell1,0.5968253968253967
17,Soteria-SCC-90SOC-cell1,0.23650793650793647
18,Soteria-SCC-80SOC-cell1,0.5968253968253967
19,Soteria-SCC-60SOC-cell1,0.48730158730158724
20,Soteria-SCC-20SOC-5180mAh,0.4158730158730158
21,OE-LCO-6470mAh-60SOC,0.5873015873015871
22,OE-LCO-6490mAh-60SOC,0.6253968253968252
23,OE-LCO-6270mAh-40SOC,0.6142857142857142
24,OE-LCO-6500mAh-20SOC,0.6158730158730157
25,OE-LCO-6560mAh-0SOC,0.7047619047619045
26,OE-LCO-6550mAh-20SOC,0.526984126984127
27,OE-LCO-6500mAh-40SOC,0.5365079365079364
28,OE-LCO-6340mAh-0SOC,0.5539682539682539
29,OE-LCO-6400mAh-20SOC,0.5079365079365078
30,Soteria-SCC-5070-70SOC,0.5444444444444443
31,OE-LFP10Ah-0SOC-cell9,0.6825396825396823
32,OE-LFP10Ah-0SOC-cell10,0.6809523809523808
33,OE-LFP10Ah-40SOC-cell7,0.6650793650793648
34,OE-LFP10Ah-40SOC-cell8,0.6682539682539681
35,OE-LFP10Ah-70SOC-cell5,0.4952380952380952
36,OE-LFP10Ah-70SOC-cell6,0.6523809523809523
37,OE-LFP10Ah-80SOC-cell3,0.7126984126984124
38,OE-LFP10Ah-80SOC-cell4,0.595238095238095
39,OE-10Ahr-NMC-70SOC-cell7,0.19682539682539674
40,OE-10Ahr-NMC-80SOC-cell8,0.6650793650793653
41,OE-10Ahr-NMC-80SOC-Cell9,0.1682539682539682
42,OE-10Ahr-NMC-100SOC-cell10,0.384126984126984
43,OE-10Ahr-NMC-100SOC-cell11,0.0952380952380952
44,OE-LFP10Ah-100SOC-cell1,0.6920634920634917
45,OE-LFP10Ah-100SOC-cell2,0.6174603174603174
46,OE-LFP10Ah-100SOC-cell12,0.6746031746031743
47,Soteria-Control-50SOC,0.5603174603174602
48,Soteria-SCC-4160mAh-100SOC-8mm,0.5857142857142855
49,OE-10Ahr-NMC-70SOC-cell6,0.5476190476190476
50,OE-10AHr-NMC-40SOC-Cell4,0.7190476190476187
51,OE-10Ahr-NMC-40SOC-cell1,0.6142857142857141
52,OE-10Ahr-NMC-0SOC-cell1,0.5238095238095238
53,OE-10Ahr-NMC-0SOC-cell2,0.6031746031746029
54,OE-LFP10Ah-80SOC-Cell15,0.6444444444444443
55,LFP10Ah-60SOC-Cell17,0.6444444444444443
56,Soteria-SCC-4720mAh-40SOC,0.5714285714285713
57,Soteria-SCC-4700mAh-100SOC-12mm,0.48253968253968244
58,OE-LFP-cell14-60SOC-10Ah,0.45396825396825397
59,OE-LFP10Ah-80SOC-cell13,0.6761904761904766
60,OE-LFP10Ah-60SOC,0.6968253968253966
61,500mAh1-20S0C,0.37936507936507924
62,500mAh1-40S0C,0.41428571428571426
63,500mAh1-60S0C,0.6253968253968252
64,500mAh1-80S0C,0.5984126984126983
65,500mAh1-100S0C,0.6476190476190474
66,500mAh2-20S0C,0.6682539682539681
67,500mAh2-40S0C,0.5873015873015872
68,500mAh2-60S0C,0.4174603174603174
69,500mAh2-80S0C,0.5015873015873015
70,500mAh2-100S0C,0.546031746031746
71,500mAh3-20S0C,0.688888888888889
72,500mAh3-40S0C,0.6492063492063489
73,500mAh3-60S0C,0.603174603174603
74,500mAh3-80S0C,0.6269841269841268
75,500mAh3-100S0C,0.5904761904761904
76,2000mAh1-20S0C,0.5365079365079365
77,2000mAh1-40S0C,0.6126984126984125
78,2000mAh1-60S0C,0.5793650793650793
79,2000mAh1-80S0C,0.584126984126984
80,2000mAh1-100S0C,0.5809523809523808
81,2000mAh2-20S0C,0.6634920634920632
82,2000mAh2-40S0C,0.5968253968253967
83,2000mAh2-60S0C,0.6206349206349204
84,2000mAh2-80S0C,0.6682539682539681
85,2000mAh2-100S0C,0.6349206349206348
86,OE-NMC10Ah-60SOC,0.39682539682539686
87,OE-NMC10Ah-50SOC,0.5777777777777777
88,1500mAh1-20S0C,0.6380952380952378
89,1500mAh1-40S0C,0.5158730158730158
90,1500mAh1-60S0C,0.6301587301587299
91,1500mAh1-80S0C,0.5412698412698411
92,1500mAh1-100S0C,0.5952380952380951
93,1500mAh2-20S0C,0.6269841269841269
94,1500mAh2-40S0C,0.6238095238095237
95,1500mAh2-60S0C,0.8507936507936509
96,1500mAh2-80S0C,0.6317460317460315
97,1500mAh2-100S0C,0.7000000000000001
98,1500mAh3-20S0C,0.6619047619047618
99,1500mAh3-40S0C,0.5984126984126983
100,1500mAh3-60S0C,0.5142857142857143
101,1500mAh3-80S0C,0.6476190476190473
102,1500mAh3-100S0C,0.6603174603174601
103,OE-NMC10Ah-45SOC,0.5619047619047618
104,OE-NMC10Ah-20SOC,0.6412698412698411
105,Soteria-SCC-5050mAhr-100SOC,0.6428571428571426
106,Soteria-control-5100mAh-50SOC,0.6317460317460315
107,OE-NMC10Ah-20SOC-cell2,0.6396825396825396
108,OE-NMC10Ah-45SOC-cell2,0.5238095238095237
109,OE-LFP10Ah-20SOC,0.6126984126984125
110,Soteria-Control-5120mAh-50SOC,0.6698412698412697
111,Soteria-Control-5100mAh-55SOC,0.6428571428571427
112,Soteria-Control-5010mAh-20SOC,0.5666666666666665
113,Soteria-Control-5030mAh-10SOC,0.7047619047619045
114,Soteria-SCC-4870mah-0SOC,0.9444444444444444
115,Soteria-SCC-4630mAh-10SOC,0.5126984126984128
116,Soteria-SCC-5080mAh-20SOC,0.6476190476190474
117,Soteria-SCC-5170mAh-60SOC,0.47619047619047616
