"algorithm","TP","TN","FP","FN","total","accuracy"
"conclusion_10_125",54,12,16,29,111,0.5946
"conclusion_10_60",75,5,23,8,111,0.7207
"conclusion_10_75",75,6,22,8,111,0.7297
"conclusion_10_150",47,16,12,36,111,0.5676
"conclusion_40_60",78,1,27,5,111,0.7117
"conclusion_40_75",76,0,28,7,111,0.6847
"conclusion_40_100",72,6,22,11,111,0.7027
"conclusion_40_125",70,7,21,13,111,0.6937
"conclusion_40_150",59,11,17,24,111,0.6306
"conclusion_30_75",76,1,27,7,111,0.6937
"conclusion_30_100",71,7,21,12,111,0.7027
"conclusion_30_125",66,9,19,17,111,0.6757
"conclusion_30_150",53,10,18,30,111,0.5676
